Team,Year,Attendance,Pos,Pts,Age % 18 to 29,Age % 30 to 44,White Percentage,Black Percentage,Latino Percentage,Asian Percentage,less than 34k Percentage,34k to 99k Percentage,100k or more Percentage
Houston Dynamo,2015,20658.0,14,39,19.81493489218138,22.707834131305052,58.20825663996941,23.074699712225154,43.86447076393355,6.414736669333086,24.097204854622653,41.146832946016346,34.755962199360994
Houston Dynamo,2016,19021.0,15,42,19.747413841582233,22.705618450920344,58.265307853048895,22.824337605140094,44.313754194222746,6.661885170906488,23.383678902199275,40.83922276243463,35.77709833536609
Houston Dynamo,2017,17500.0,19,34,19.747413841582233,22.705618450920344,58.265307853048895,22.824337605140094,44.313754194222746,6.661885170906488,23.383678902199275,40.83922276243463,35.77709833536609
Los Angeles Galaxy,2012,23136.0,1,67,17.89051198103049,19.57862449285924,32.2177143043606,19.543818049316382,39.52706744836138,25.853573642820628,16.8180128511497,47.44835643354044,35.73363071530986
Los Angeles Galaxy,2013,22152.0,8,54,18.25227732243407,18.69252342544079,31.287910081092246,20.224145052938237,39.646063873730895,26.06039524316803,16.668428843307254,47.45189257771199,35.87967857898076
Los Angeles Galaxy,2014,21258.0,5,53,18.504460665044604,18.906731549067317,30.7845363611787,20.735333874020007,39.62476344958097,25.858880778588805,17.902370386405455,44.690983872713495,37.40664574088105
Los Angeles Galaxy,2015,23392.0,2,61,18.335113441434444,18.454866168236396,31.045085283360844,20.66112136021836,39.37275463637246,25.82882912041083,17.74986917844061,44.49502878074307,37.755102040816325
Los Angeles Galaxy,2016,25138.0,9,51,18.13645182151326,18.635481784867427,29.40504419055831,21.373140763095495,39.891140331968096,25.827764604440613,16.8870857263291,44.02760946309078,39.08530481058011
Los Angeles Galaxy,2017,22246.0,6,52,18.13645182151326,18.635481784867427,29.40504419055831,21.373140763095495,39.891140331968096,25.827764604440613,16.8870857263291,44.02760946309078,39.08530481058011
New England Revolution,2012,14001.0,17,28,17.27009413468501,23.38884866039102,91.05720492396814,3.2766111513396092,3.33091962346126,5.322230267921796,17.506874427131073,41.24656278643447,41.24656278643447
New England Revolution,2013,14844.0,16,35,19.224154404739156,19.54901586088286,90.40703229505064,3.9365564685648766,4.051213453086184,5.197783298299255,17.65285996055227,45.26627218934911,37.08086785009862
New England Revolution,2014,16681.0,7,51,16.576900059844405,19.13026132056653,92.49950129662876,2.0546578894873333,5.445840813883902,5.405944544185118,13.872255489021956,43.712574850299404,42.41516966067864
New England Revolution,2015,19627.0,5,55,12.448366503942921,16.635373638753286,93.40968832144199,2.0090123920390535,5.01314307172362,4.524971836274878,9.803921568627452,50.0515995872033,40.14447884416924
New England Revolution,2016,20185.0,11,50,11.200145692952104,18.393735203059553,90.60280458932799,7.2846476051721,4.097614277909306,2.0761245674740483,10.1010101010101,48.58585858585859,41.313131313131315
New England Revolution,2017,19367.0,14,42,11.200145692952104,18.393735203059553,90.60280458932799,7.2846476051721,4.097614277909306,2.0761245674740483,10.1010101010101,48.58585858585859,41.313131313131315
New York City FC,2016,27196.0,17,37,18.888848577770567,22.341357990186907,43.07490899568079,24.402464156948962,29.046990408015354,13.707023702898184,18.075025843745813,37.52961783248454,44.39535632376965
New York City FC,2017,22177.0,4,54,18.888848577770567,22.341357990186907,43.07490899568079,24.402464156948962,29.046990408015354,13.707023702898184,18.075025843745813,37.52961783248454,44.39535632376965
New York Red Bulls,2012,18281.0,10,46,20.302157857044683,23.195697306838156,27.588090191624648,51.979904368521176,33.250746894870474,1.6305094799586222,24.648993164603734,48.466654350637356,26.88435248475891
New York Red Bulls,2013,19461.0,4,57,20.375544875377223,22.883503931755826,25.87134992086012,51.695468295373836,34.06440075426256,1.4742732290874216,24.873821540805636,48.076373678697266,27.049804780497094
New York Red Bulls,2014,19421.0,1,59,20.43336322869955,22.75982062780269,24.542421524663677,50.81973094170403,34.78959641255606,1.8389237668161436,24.471106758080314,49.0254652301665,26.503428011753183
New York Red Bulls,2015,19657.0,8,50,20.230313124345496,22.512714756981055,24.320479783268347,50.14028228011422,35.62669544985042,1.822776123777221,24.30548640844369,49.64651996415414,26.04799362740217
New York Red Bulls,2016,20620.0,1,60,20.01863360688801,22.407804696954013,24.3543383820175,50.24291512427759,36.03568228629359,1.7541292001470699,24.056189640035118,49.33177250999902,26.61203784996586
New York Red Bulls,2017,21175.0,3,57,20.01863360688801,22.407804696954013,24.3543383820175,50.24291512427759,36.03568228629359,1.7541292001470699,24.056189640035118,49.33177250999902,26.61203784996586
Orlando City,2016,31324.0,14,44,21.75491633308774,24.520519851427615,60.996331264764194,26.42248942295276,29.246959811018357,3.839259264885722,25.592859737429297,43.89237714700846,30.514763115562243
Orlando City,2017,25028.0,15,41,21.75491633308774,24.520519851427615,60.996331264764194,26.42248942295276,29.246959811018357,3.839259264885722,25.592859737429297,43.89237714700846,30.514763115562243
Philadelphia Union,2012,18053.0,8,48,23.178128754358717,16.277434289565445,18.12641017376271,76.12447622117385,8.213438040261376,0.5508834647053653,39.98693948628646,48.54157596865477,11.471484545058773
Philadelphia Union,2013,17867.0,15,36,24.27155920143483,16.31530975272706,17.65017200317544,76.31648584281557,8.359060304019287,0.2940225221251948,38.715354157501096,48.61416630004399,12.670479542454904
Philadelphia Union,2014,17631.0,14,46,24.52730320228188,16.18784367924251,19.369541564971918,73.9906489840327,10.056753021436764,0.5587085011909312,40.033361134278564,50.43786488740617,9.528773978315263
Philadelphia Union,2015,17451.0,12,42,24.870649106302917,16.386406396989653,19.620178739416744,72.63346660395108,11.582784571966133,0.6291157102539982,40.59206100022427,49.9663601704418,9.441578829333931
Philadelphia Union,2016,17519.0,18,37,24.838501291989665,16.11463471928588,20.155038759689923,71.2591026544515,11.909795630725863,0.5872680291284942,40.56799815285154,50.126991456938356,9.305010390210112
Philadelphia Union,2017,16812.0,13,42,24.838501291989665,16.11463471928588,20.155038759689923,71.2591026544515,11.909795630725863,0.5872680291284942,40.56799815285154,50.126991456938356,9.305010390210112
Portland Timbers,2012,20438.0,12,42,19.396539953028565,25.675897099786987,77.5163512480201,6.472568135889453,9.28846468949697,7.2413157463542515,18.30284727569014,47.61879844816374,34.07835427614612
Portland Timbers,2013,20674.0,17,34,19.007141571952975,26.180158638073475,77.38558266785721,6.259595383790129,9.426471404284943,7.491672089687516,17.760944652985383,46.78684618669784,35.452209160316784
Portland Timbers,2014,20806.0,3,57,18.719547005483197,26.387893150648555,77.3464571633409,6.073505396901262,9.638414253660997,7.524461969437474,17.69886897380979,45.92342088453012,36.37771014166009
Portland Timbers,2015,21144.0,11,49,18.41667673952885,26.659817120381046,77.61358104951601,5.825980143938478,9.74671924156248,7.577351414393195,17.605084178838222,45.159995540194004,37.23492028096778
Portland Timbers,2016,21144.0,5,53,18.19771217343524,26.737502598338033,77.73421700996957,5.71473229464267,9.6746800217213,7.580701559325092,16.252553007038216,43.39671157999912,40.35073541296266
Portland Timbers,2017,21144.0,12,44,18.19771217343524,26.737502598338033,77.73421700996957,5.71473229464267,9.6746800217213,7.580701559325092,16.252553007038216,43.39671157999912,40.35073541296266
Real Salt Lake,2012,19087.0,3,53,15.561897398581046,19.40945060942332,91.68182645079133,0.7140258322721484,6.895806803711115,3.189239585228306,13.204155889702337,46.902810047783966,39.8930340625137
Real Salt Lake,2013,19218.0,5,57,15.866338866835077,19.592430530494408,90.50094731143992,0.8018314687838325,7.832235654998196,3.474603031396608,13.087843833185447,46.41969831410825,40.492457852706295
Real Salt Lake,2014,20351.0,4,56,15.666715072441104,19.527261759810546,90.74742239251125,0.5864545749042124,8.179086471330749,3.045095564169301,12.622554608053264,45.02713302020156,42.35031237174518
Real Salt Lake,2015,20160.0,4,56,15.469830552915342,19.64318879529787,89.7894748342128,0.6019686888881606,7.886773076376826,3.049173522117706,11.13354873451804,46.311254711900915,42.55519655358104
Real Salt Lake,2016,19759.0,16,41,15.294016598490462,19.848401885313663,90.10317690383397,0.6538473926627372,8.61167477265651,3.166167423583599,10.28236316246742,43.32319721980886,46.39443961772372
Real Salt Lake,2017,18781.0,9,46,15.294016598490462,19.848401885313663,90.10317690383397,0.6538473926627372,8.61167477265651,3.166167423583599,10.28236316246742,43.32319721980886,46.39443961772372
San Jose Earthquakes,2012,13293.0,14,38,17.11175539277373,23.481551878237052,46.996633412931345,3.1092469553500233,33.031007597610596,32.56389757109073,11.418846171100444,34.40962720380423,54.17152662509533
San Jose Earthquakes,2013,12765.0,1,66,17.06816884662345,23.21563665299829,45.935454839132504,3.1376721921595867,33.18701665698217,32.80214840907707,11.740647314280578,33.80450232307286,54.45485036264655
San Jose Earthquakes,2014,14947.0,10,51,16.920269283802416,23.111160678076082,45.305783112985644,3.161245843134074,33.08246816449022,33.240124908751724,11.671002758651625,32.45845201516137,55.870545226187005
San Jose Earthquakes,2015,20979.0,18,30,16.852406930040164,22.87502747637032,43.8631776672062,3.035289650900226,32.93647463181664,33.7675598984873,11.723551101446535,31.980601638405197,56.29584726014827
San Jose Earthquakes,2016,19930.0,13,47,16.949501814510736,22.687179934275377,42.193244650338876,3.080754891946703,32.6081895215101,34.099526136781314,11.149943132253398,30.196773445522908,58.65328342222369
San Jose Earthquakes,2017,19875.0,17,38,16.949501814510736,22.687179934275377,42.193244650338876,3.080754891946703,32.6081895215101,34.099526136781314,11.149943132253398,30.196773445522908,58.65328342222369
Seattle Sounders,2012,43144.0,2,63,23.044756540863677,25.743495030314108,70.599233826495,7.812979266326871,6.180292242330107,14.020681463691599,12.495190742549351,38.475539376720235,49.02926988073041
Seattle Sounders,2013,44038.0,7,56,22.80091758833709,25.82646182611605,70.57458126627832,7.413383791086971,6.4208772157309095,14.079666261659952,12.438113308232783,37.311375292757404,50.25051139900981
Seattle Sounders,2014,43734.0,6,52,22.767578584306655,26.056909931802146,69.90452300697656,7.319432468448694,6.361527004781689,14.235165007446893,11.974069084602961,35.98547154223449,52.04045937316254
Seattle Sounders,2015,44247.0,1,64,22.874902184782325,26.074206337660428,69.52345804167426,7.2282957411522215,6.506721877072113,14.207287099723285,11.995790181475337,34.508817961892376,53.49539185663229
Seattle Sounders,2016,42636.0,6,51,22.956751075354827,26.131608180620734,69.17450725051543,7.100705839434611,6.558729997353662,14.146541297064061,11.611695006978268,32.82278048363668,55.56552450938506
Seattle Sounders,2017,43666.0,7,48,22.956751075354827,26.131608180620734,69.17450725051543,7.100705839434611,6.558729997353662,14.146541297064061,11.611695006978268,32.82278048363668,55.56552450938506
Sporting Kansas City,2012,19404.0,5,51,17.430720098897705,19.707427629545688,59.407300573469314,27.174890972150685,27.60001373579204,2.793173311356066,33.37795349126794,51.76353391650842,14.858512592223642
Sporting Kansas City,2013,19708.0,2,63,17.225288407092325,19.863420224995053,59.858371821723146,26.70127779180112,28.05547785865835,3.015397629979329,33.12505946906023,52.58967934282723,14.28526118811253
Sporting Kansas City,2014,20003.0,2,58,17.066626919063943,20.089025596552798,59.90460575346549,26.316074743560208,28.163660754210763,3.2710470331576307,32.66109823101597,52.27871820116239,15.060183567821642
Sporting Kansas City,2015,19687.0,10,49,16.940646938295657,20.137046118706124,59.63655906754896,25.57186523798327,28.735346478116284,3.6821067481777567,32.915638250743626,52.20555661034112,14.878805138915258
Sporting Kansas City,2016,19597.0,10,51,16.71997596073587,20.26977396414143,59.39901839671463,25.060932856999766,29.199025074288006,3.8636439517879198,31.692427587998438,51.84114820106507,16.466424210936484
Sporting Kansas City,2017,19537.0,8,47,16.71997596073587,20.26977396414143,59.39901839671463,25.060932856999766,29.199025074288006,3.8636439517879198,31.692427587998438,51.84114820106507,16.466424210936484
